[14Dec2024 03:09:43.067] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.12, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14Dec2024 03:09:43.071] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 21.0.4 by Microsoft; OS Linux arch amd64 version 6.5.0-1025-azure
[14Dec2024 03:09:43.962] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[14Dec2024 03:09:43.999] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/comoasi/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[14Dec2024 03:09:44.033] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[14Dec2024 03:09:44.034] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/comoasi/servidor_minecraft
[14Dec2024 03:09:44.035] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/comoasi/servidor_minecraft/mods
[14Dec2024 03:09:44.035] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[14Dec2024 03:09:44.037] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/comoasi/servidor_minecraft/config/mods_optimizer/config.toml
[14Dec2024 03:09:44.071] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/comoasi/servidor_minecraft and mods dir /workspaces/comoasi/servidor_minecraft/mods for target SERVER in 34 ms.
[14Dec2024 03:09:44.071] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[14Dec2024 03:09:44.073] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~124 mods in /workspaces/comoasi/servidor_minecraft/mods with file extension .jar ...
[14Dec2024 03:09:44.100] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/comoasi/servidor_minecraft/mods/spellbound-weapons-v4.0.5m.jar, which is expected in some cases.
[14Dec2024 03:09:44.109] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2023-12-11T00:18:42+01:00:
[14Dec2024 03:09:44.156] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.yungsapi[1] section of the mods.toml file /workspaces/comoasi/servidor_minecraft/mods/YungsApi-1.20-Forge-4.0.5.jar!
[14Dec2024 03:09:44.175] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterdungeons[1] section of the mods.toml file /workspaces/comoasi/servidor_minecraft/mods/YungsBetterDungeons-1.20-Forge-4.0.4.jar!
[14Dec2024 03:09:44.180] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterendisland[1] section of the mods.toml file /workspaces/comoasi/servidor_minecraft/mods/YungsBetterEndIsland-1.20-Forge-2.0.6.jar!
[14Dec2024 03:09:44.184] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterwitchhuts[1] section of the mods.toml file /workspaces/comoasi/servidor_minecraft/mods/YungsBetterWitchHuts-1.20-Forge-3.0.3.jar!
[14Dec2024 03:09:44.196] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterjungletemples[1] section of the mods.toml file /workspaces/comoasi/servidor_minecraft/mods/YungsBetterJungleTemples-1.20-Forge-2.0.5.jar!
[14Dec2024 03:09:44.202] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.patchouli[0] section of the mods.toml file /workspaces/comoasi/servidor_minecraft/mods/Patchouli-1.20.1-84-FORGE.jar!
[14Dec2024 03:09:44.236] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.bettermineshafts[1] section of the mods.toml file /workspaces/comoasi/servidor_minecraft/mods/YungsBetterMineshafts-1.20-Forge-4.0.4.jar!
[14Dec2024 03:09:44.248] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for paraglider from UNKNOWN to DEFAULT
[14Dec2024 03:09:44.255] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to DEFAULT
[14Dec2024 03:09:44.258] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2024-06-29-18:00:11:
[14Dec2024 03:09:44.274] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 2 data pack mods in 119 mods.
[14Dec2024 03:09:44.274] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 1 server mods in 119 mods.
[14Dec2024 03:09:44.275] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 116 default mods in 119 mods.
[14Dec2024 03:09:44.276] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[14Dec2024 03:09:44.276] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[14Dec2024 03:09:44.277] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[14Dec2024 03:09:44.282] [main/INFO] [Mods Optimizer/]: | weaponmaster_ydm                   | 4.2.3                  | FORGE    | UNKNOWN           | 2024-12-11 00:35:46 |
[14Dec2024 03:09:44.282] [main/INFO] [Mods Optimizer/]: | treechop                           | 0.19.0                 | FORGE    | UNKNOWN           | 2024-07-25 13:59:42 |
[14Dec2024 03:09:44.283] [main/INFO] [Mods Optimizer/]: | betterdungeons                     | 1.204.0-4              | FORGE    | UNKNOWN           | 2024-04-18 01:09:50 |
[14Dec2024 03:09:44.283] [main/INFO] [Mods Optimizer/]: | easyanvils                         | 8.0.2                  | FORGE    | DEFAULT           | 2024-03-04 10:07:14 |
[14Dec2024 03:09:44.284] [main/INFO] [Mods Optimizer/]: | alexsmobs                          | 1.22.8                 | FORGE    | DEFAULT           | 2024-12-11 00:32:12 |
[14Dec2024 03:09:44.286] [main/INFO] [Mods Optimizer/]: | betterwitchhuts                    | 1.203.0-3              | FORGE    | UNKNOWN           | 2023-09-26 00:52:20 |
[14Dec2024 03:09:44.288] [main/INFO] [Mods Optimizer/]: | geckolib                           | 4.4.7                  | FORGE    | DEFAULT           | 2024-06-23 07:30:34 |
[14Dec2024 03:09:44.289] [main/INFO] [Mods Optimizer/]: | dynamiclights                      | 2.0.0                  | FORGE    | UNKNOWN           | 2023-11-12 08:08:43 |
[14Dec2024 03:09:44.290] [main/INFO] [Mods Optimizer/]: | sophisticatedcore                  | 6.25.632               | FORGE    | DEFAULT           | 2024-08-22 21:40:41 |
[14Dec2024 03:09:44.290] [main/INFO] [Mods Optimizer/]: | duckling                           | 3.0.0                  | FORGE    | DEFAULT           | 2024-12-11 00:33:16 |
[14Dec2024 03:09:44.291] [main/INFO] [Mods Optimizer/]: | xaeroworldmap                      | 1.39.0                 | FORGE    | DEFAULT           | 2024-08-23 11:15:18 |
[14Dec2024 03:09:44.291] [main/INFO] [Mods Optimizer/]: | placebo                            | 8.6.2                  | FORGE    | UNKNOWN           | 2024-06-10 00:10:20 |
[14Dec2024 03:09:44.292] [main/INFO] [Mods Optimizer/]: | citadel                            | 2.6.0                  | FORGE    | DEFAULT           | 2024-08-15 15:06:41 |
[14Dec2024 03:09:44.292] [main/INFO] [Mods Optimizer/]: | yungsapi                           | 1.204.0-5              | FORGE    | UNKNOWN           | 2024-05-09 22:27:17 |
[14Dec2024 03:09:44.293] [main/INFO] [Mods Optimizer/]: | zombieawareness                    | 1.20.1-1.13.1          | FORGE    | UNKNOWN           | 2024-02-10 14:35:33 |
[14Dec2024 03:09:44.293] [main/INFO] [Mods Optimizer/]: | spellbound_weapons_mr              | 0.0.0                  | MIXED    | DATA_PACK         | 2024-12-11 00:34:56 |
[14Dec2024 03:09:44.294] [main/INFO] [Mods Optimizer/]: | achiopt                            | 1.0.5                  | FORGE    | DEFAULT           | 2024-05-22 12:21:55 |
[14Dec2024 03:09:44.295] [main/INFO] [Mods Optimizer/]: | sophisticatedbackpacks             | 3.20.6-1064            | FORGE    | DEFAULT           | 2024-08-22 21:40:02 |
[14Dec2024 03:09:44.295] [main/INFO] [Mods Optimizer/]: | apotheosis                         | 7.4.2                  | FORGE    | UNKNOWN           | 2024-08-18 20:47:13 |
[14Dec2024 03:09:44.296] [main/INFO] [Mods Optimizer/]: | balm                               | 7.3.9                  | FORGE    | DEFAULT           | 2024-08-19 19:50:39 |
[14Dec2024 03:09:44.298] [main/INFO] [Mods Optimizer/]: | carryon                            | 2.1.2-7                | FORGE    | DEFAULT           | 2023-11-19 22:01:15 |
[14Dec2024 03:09:44.301] [main/INFO] [Mods Optimizer/]: | projectile_damage                  | 3.2.2+1.20.1           | FORGE    | DEFAULT           | 2024-12-11 00:34:13 |
[14Dec2024 03:09:44.302] [main/INFO] [Mods Optimizer/]: | cloth_config                       | 11.1.118               | FORGE    | DEFAULT           | 2024-12-11 00:33:00 |
[14Dec2024 03:09:44.302] [main/INFO] [Mods Optimizer/]: | paraglider                         | 20.1.3                 | FORGE    | DEFAULT           | 2024-12-11 00:34:09 |
[14Dec2024 03:09:44.303] [main/INFO] [Mods Optimizer/]: | stackrefill                        | 4.5.0                  | MIXED    | UNKNOWN           | 2024-07-27 20:07:32 |
[14Dec2024 03:09:44.304] [main/INFO] [Mods Optimizer/]: | twilightforest                     | 4.3.2508               | FORGE    | DEFAULT           | 2024-06-24 18:00:24 |
[14Dec2024 03:09:44.305] [main/INFO] [Mods Optimizer/]: | terramity                          | 9.6.1                  | FORGE    | UNKNOWN           | 2024-12-11 00:35:13 |
[14Dec2024 03:09:44.305] [main/INFO] [Mods Optimizer/]: | steelhngrs_dragon_ball_cosmetics   | 1.0.0                  | FORGE    | UNKNOWN           | 2024-12-11 00:34:57 |
[14Dec2024 03:09:44.305] [main/INFO] [Mods Optimizer/]: | biomesoplenty                      | 18.0.0-598             | FORGE    | DEFAULT           | 2023-09-23 09:57:59 |
